duplicate_group,comparison,status,source_path,reference_path,max_abs_clumping_delta
group0024,reference,byte-identical,results\Thesan-1-scaling\gas_pylians_grid256_threads12_batch10_run1.json,results\Thesan-1-scaling\gas_pylians_grid256_threads12_batch10_run1.json,0
group0024,repeat,numerically-different,results\Thesan-1-scaling\gas_pylians_grid256_threads12_batch10_run2.json,results\Thesan-1-scaling\gas_pylians_grid256_threads12_batch10_run1.json,5.44843e-06
group0025,reference,byte-identical,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10.json,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10.json,0
group0025,repeat,numerically-different,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10_run1.json,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10.json,5.56318e-06
group0025,repeat,numerically-different,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10_run2.json,results\Thesan-1-scaling\gas_pylians_grid256_threads16_batch10.json,5.56347e-06
group0026,reference,byte-identical,results\Thesan-1-scaling\gas_pylians_grid256_threads20_batch10_run1.json,results\Thesan-1-scaling\gas_pylians_grid256_threads20_batch10_run1.json,0
group0026,repeat,numerically-different,results\Thesan-1-scaling\gas_pylians_grid256_threads20_batch10_run2.json,results\Thesan-1-scaling\gas_pylians_grid256_threads20_batch10_run1.json,1.29116e-05
group0057,reference,byte-identical,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads16_batch10_run1.json,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads16_batch10_run1.json,0
group0057,repeat,numerically-different,results\Thesan-2-scaling\gas_pylians_grid256_threads16_batch10.json,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads16_batch10_run1.json,1.64248e-05
group0059,reference,byte-identical,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads8_batch10_run1.json,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads8_batch10_run1.json,0
group0059,repeat,numerically-different,results\Thesan-2-scaling\gas_pylians_grid256_threads8_batch10.json,results\Thesan-2-new-pipeline\gas_pylians_grid256_threads8_batch10_run1.json,8.32203e-06
